position_id,product_type,balance_side,notional,currency,start_date,maturity_date,rate_type,coupon_rate,spread,repricing_freq_months,liquidity_category,behavioral_category,hqla_level,asf_factor,rsf_factor,encumbered,stress_spread_addon
A1,fixed_mortgages,asset,57.412,EUR,2020-09-01,2028-08-01,fixed,0.0366,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A2,fixed_mortgages,asset,50.805,EUR,2022-12-01,2030-07-01,fixed,0.0278,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A3,fixed_mortgages,asset,511.498,EUR,2021-08-01,2032-03-01,fixed,0.0387,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A4,fixed_mortgages,asset,648.419,EUR,2021-02-01,2033-09-01,fixed,0.0302,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A5,fixed_mortgages,asset,889.683,EUR,2021-01-01,2036-03-01,fixed,0.0412,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A6,fixed_mortgages,asset,824.124,EUR,2022-01-01,2036-11-01,fixed,0.0397,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A7,fixed_mortgages,asset,921.011,EUR,2020-09-01,2041-12-01,fixed,0.0313,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A8,floating_corporate_loans,asset,206.589,EUR,2024-06-01,2027-01-01,floating,0.0225,0.0185,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A9,floating_corporate_loans,asset,321.568,EUR,2023-11-01,2027-09-01,floating,0.0223,0.0123,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A10,floating_corporate_loans,asset,151.049,EUR,2023-06-01,2028-03-01,floating,0.0236,0.0138,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A11,floating_corporate_loans,asset,423.726,EUR,2023-09-01,2029-02-01,floating,0.0237,0.0156,6.0,loan_book,contractual,none,0.0,0.5,False,0.0
A12,floating_corporate_loans,asset,733.195,EUR,2024-07-01,2030-07-01,floating,0.0252,0.0114,6.0,loan_book,contractual,none,0.0,0.5,False,0.0
A13,floating_corporate_loans,asset,373.282,EUR,2022-09-01,2031-04-01,floating,0.0214,0.0174,6.0,loan_book,contractual,none,0.0,0.5,False,0.0
A14,sovereign_bonds,asset,34.278,EUR,2024-06-01,2025-08-01,fixed,0.0231,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A15,sovereign_bonds,asset,105.866,EUR,2024-01-01,2027-01-01,fixed,0.0265,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A16,sovereign_bonds,asset,268.2,EUR,2024-06-01,2028-02-01,fixed,0.0257,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A17,sovereign_bonds,asset,296.922,EUR,2023-11-01,2029-04-01,fixed,0.0243,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A18,sovereign_bonds,asset,196.626,EUR,2023-11-01,2030-10-01,fixed,0.0284,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A19,reserves/cash,asset,371.27,EUR,2024-12-25,2025-01-08,nonrate,0.0,0.0,1.0,cash,overnight,level1,0.0,0.0,False,0.0
A20,reserves/cash,asset,505.477,EUR,2024-12-25,2025-01-23,nonrate,0.0,0.0,1.0,cash,overnight,level1,0.0,0.0,False,0.0
L1,retail_nmd,liability,2185.582,EUR,2022-06-01,2049-12-01,nonrate,0.0011,0.0,,deposit,retail_nmd,none,0.9,0.0,False,0.0
L2,retail_nmd,liability,1405.891,EUR,2021-08-01,2045-04-01,nonrate,0.0015,0.0,,deposit,retail_nmd,none,0.9,0.0,False,0.0
L3,retail_nmd,liability,323.965,EUR,2021-10-01,2039-11-01,nonrate,0.0031,0.0,,deposit,retail_nmd_less_stable,none,0.8,0.0,False,0.0
L4,retail_nmd,liability,293.078,EUR,2023-09-01,2043-03-01,nonrate,0.0049,0.0,,deposit,retail_nmd_less_stable,none,0.8,0.0,False,0.0
L5,term_deposits,liability,275.499,EUR,2024-11-01,2025-07-01,fixed,0.0253,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L6,term_deposits,liability,280.001,EUR,2024-08-01,2025-10-01,fixed,0.0302,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L7,term_deposits,liability,589.513,EUR,2024-07-01,2026-02-01,fixed,0.0252,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L8,term_deposits,liability,512.826,EUR,2024-11-01,2026-06-01,fixed,0.029,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L9,interbank_borrowing,liability,374.459,EUR,2024-12-01,2025-02-01,floating,0.0259,0.0059,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L10,interbank_borrowing,liability,437.5,EUR,2024-07-01,2025-03-01,floating,0.027,0.0069,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L11,interbank_borrowing,liability,209.18,EUR,2024-08-01,2025-03-01,floating,0.0226,0.0037,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L12,interbank_borrowing,liability,155.911,EUR,2024-09-01,2025-05-01,floating,0.0236,0.006,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
E1,equity,equity,847.595,EUR,2025-01-01,2055-01-01,nonrate,0.0,0.0,,capital,permanent,none,1.0,0.0,False,0.0
