position_id,product_type,balance_side,notional,currency,start_date,maturity_date,rate_type,coupon_rate,spread,repricing_freq_months,liquidity_category,behavioral_category,hqla_level,asf_factor,rsf_factor,encumbered,stress_spread_addon
A1,fixed_mortgages,asset,306.058,EUR,2023-05-01,2028-02-01,fixed,0.0303,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A2,fixed_mortgages,asset,473.069,EUR,2022-12-01,2030-07-01,fixed,0.0344,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A3,fixed_mortgages,asset,645.935,EUR,2020-07-01,2031-07-01,fixed,0.0392,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A4,fixed_mortgages,asset,341.299,EUR,2021-06-01,2033-05-01,fixed,0.0358,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A5,fixed_mortgages,asset,357.121,EUR,2022-05-01,2035-06-01,fixed,0.0389,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A6,fixed_mortgages,asset,248.827,EUR,2021-08-01,2036-05-01,fixed,0.0376,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A7,fixed_mortgages,asset,545.385,EUR,2023-03-01,2038-01-01,fixed,0.0327,0.0,,loan_book,amortizing,none,0.0,0.85,False,0.0
A8,floating_corporate_loans,asset,333.434,EUR,2024-03-01,2026-03-01,floating,0.0212,0.0163,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A9,floating_corporate_loans,asset,342.79,EUR,2023-01-01,2026-06-01,floating,0.0239,0.0161,1.0,loan_book,contractual,none,0.0,0.5,False,0.0
A10,floating_corporate_loans,asset,145.718,EUR,2024-05-01,2026-08-01,floating,0.0263,0.0141,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A11,floating_corporate_loans,asset,347.781,EUR,2022-07-01,2028-03-01,floating,0.0204,0.0187,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A12,floating_corporate_loans,asset,174.82,EUR,2023-12-01,2029-02-01,floating,0.0273,0.0126,3.0,loan_book,contractual,none,0.0,0.5,False,0.0
A13,floating_corporate_loans,asset,499.067,EUR,2023-12-01,2030-03-01,floating,0.024,0.0162,6.0,loan_book,contractual,none,0.0,0.5,False,0.0
A14,sovereign_bonds,asset,156.491,EUR,2024-01-01,2025-05-01,fixed,0.0255,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A15,sovereign_bonds,asset,264.303,EUR,2024-08-01,2026-01-01,fixed,0.0173,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A16,sovereign_bonds,asset,90.729,EUR,2024-03-01,2026-02-01,fixed,0.0276,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A17,sovereign_bonds,asset,94.197,EUR,2023-09-01,2027-01-01,fixed,0.0312,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A18,sovereign_bonds,asset,90.229,EUR,2023-11-01,2028-10-01,fixed,0.0214,0.0,,securities,contractual,level1,0.0,0.05,False,0.0
A19,reserves/cash,asset,502.09,EUR,2024-12-27,2025-01-06,nonrate,0.0,0.0,1.0,cash,overnight,level1,0.0,0.0,False,0.0
A20,reserves/cash,asset,189.657,EUR,2024-12-25,2025-01-17,nonrate,0.0,0.0,1.0,cash,overnight,level1,0.0,0.0,False,0.0
L1,retail_nmd,liability,1345.545,EUR,2019-11-01,2048-05-01,nonrate,0.0026,0.0,,deposit,retail_nmd,none,0.9,0.0,False,0.0
L2,retail_nmd,liability,939.16,EUR,2022-05-01,2044-06-01,nonrate,0.0033,0.0,,deposit,retail_nmd,none,0.9,0.0,False,0.0
L3,retail_nmd,liability,467.399,EUR,2022-01-01,2040-09-01,nonrate,0.0048,0.0,,deposit,retail_nmd_less_stable,none,0.8,0.0,False,0.0
L4,retail_nmd,liability,271.382,EUR,2023-07-01,2040-05-01,nonrate,0.0033,0.0,,deposit,retail_nmd_less_stable,none,0.8,0.0,False,0.0
L5,term_deposits,liability,708.241,EUR,2024-03-01,2025-03-01,fixed,0.0232,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L6,term_deposits,liability,312.844,EUR,2024-05-01,2025-04-01,fixed,0.0283,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L7,term_deposits,liability,156.226,EUR,2024-01-01,2025-07-01,fixed,0.0359,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L8,term_deposits,liability,201.411,EUR,2024-02-01,2025-11-01,fixed,0.0289,0.0,,deposit,contractual,none,0.95,0.0,False,0.0
L9,interbank_borrowing,liability,760.169,EUR,2024-08-01,2025-02-01,floating,0.0223,0.0041,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L10,interbank_borrowing,liability,250.862,EUR,2024-11-01,2025-02-01,floating,0.0247,0.0048,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L11,interbank_borrowing,liability,93.741,EUR,2024-12-01,2025-03-01,floating,0.023,0.005,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
L12,interbank_borrowing,liability,70.38,EUR,2024-11-01,2025-04-01,floating,0.0245,0.0056,1.0,wholesale,contractual,none,0.5,0.0,False,0.0
E1,equity,equity,571.64,EUR,2025-01-01,2055-01-01,nonrate,0.0,0.0,,capital,permanent,none,1.0,0.0,False,0.0
